;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
812;;0.45;;;0.099;20.0;38.0;0.99818;;;;
813;;;;2.1;0.102;4.0;;;3.44;0.58;11.4;4.0
814;12.6;0.41;0.54;2.8;0.103;;41.0;;;;;
815;10.8;;;;0.099;;38.0;0.99818;;;;5.0
816;9.8;0.51;0.19;;0.081;8.0;;0.9984;;0.58;;6.0
817;;0.29;0.42;;0.084;19.0;27.0;0.99545;3.28;;;6.0
818;;0.715;;;;21.0;;0.99632;3.29;0.45;9.4;5.0
819;9.1;0.66;;;0.097;9.0;59.0;0.99976;3.28;0.54;9.6;
820;7.0;;;1.9;0.099;;22.0;;3.34;0.6;9.7;5.0
821;4.9;0.42;;2.1;;;;0.99154;;0.74;14.0;
822;;;;2.0;0.076;;;0.9973;3.61;;9.8;5.0
823;;;0.13;2.0;;15.0;;0.9973;;;9.8;5.0
824;;;;2.8;;6.0;;;3.24;;;5.0
825;;0.46;0.14;;0.076;;;0.99624;;0.49;;
826;;;0.34;2.3;0.05;4.0;8.0;;3.4;;11.0;7.0
827;;0.46;;2.8;;;;0.99624;;0.49;10.7;
828;7.8;;0.09;2.3;0.065;;45.0;;3.46;;;8.0
829;5.9;;;;;;;0.99376;;;11.1;
830;;;0.07;;0.058;5.0;;;;;;
831;;0.61;;2.1;0.071;16.0;24.0;;;0.77;11.1;6.0
832;10.4;;;1.5;0.145;;48.0;;;0.86;9.9;
833;;;0.44;;0.147;;;0.99836;;0.86;;4.0
834;;;0.26;1.6;0.088;16.0;23.0;0.99694;3.32;;9.4;
835;7.6;;0.1;;0.066;;55.0;0.99655;;0.51;9.3;5.0
836;6.7;;;;;36.0;;0.99064;3.26;;11.7;
837;6.7;;0.28;;;36.0;100.0;;3.26;;11.7;7.0
838;10.1;0.31;0.35;1.6;;;;0.99672;;0.83;11.2;
839;6.0;;0.04;;;;26.0;;;0.47;;5.0
840;11.1;;0.47;2.65;0.085;;34.0;0.99736;;0.77;12.1;
841;6.6;;0.0;3.0;;;31.0;;3.45;;10.3;5.0
842;;;0.45;;0.119;34.0;68.0;;;;10.9;6.0
843;7.1;0.685;0.35;2.0;0.088;9.0;92.0;;3.28;;;
844;9.9;0.25;;;;;42.0;;;;;
845;6.4;0.64;0.21;;0.081;;31.0;0.99689;3.59;;;5.0
846;;0.64;;;0.081;;31.0;0.99689;;0.66;9.8;
847;7.4;0.68;0.16;1.8;0.078;;;0.9977;3.5;;9.9;6.0
848;;;;;0.081;14.0;;0.99689;;0.66;9.8;5.0
849;6.4;;;1.6;0.08;12.0;;0.99689;;;;
850;9.3;0.43;;;0.085;;;0.99708;3.28;0.55;9.5;5.0
851;;0.43;;;;;22.0;0.99708;3.28;;;
852;8.0;;;2.5;;;;0.99801;;1.07;9.7;
853;;0.36;;1.5;;41.0;;;3.47;0.73;;
854;9.3;;0.39;;0.08;41.0;55.0;0.99652;;;10.9;6.0
855;7.6;;0.02;;0.071;10.0;;;3.51;;;
856;;;0.39;1.5;0.08;;;;3.47;0.73;10.9;
857;;;0.34;2.5;;16.0;;;;0.78;;
858;11.7;0.28;;1.7;;17.0;32.0;0.99686;;0.67;;7.0
859;;0.56;0.22;;;;24.0;0.99438;3.4;0.82;;6.0
860;7.2;0.62;0.06;2.7;;15.0;;0.99746;3.51;0.54;;
861;5.8;;0.66;2.0;;15.0;88.0;0.99357;;;;6.0
862;7.5;;0.32;2.7;;7.0;;;;0.44;;
863;7.2;0.62;0.06;;;;;;3.51;0.53;;5.0
864;;;0.06;2.7;0.077;;85.0;;3.51;;9.5;5.0
865;;;0.07;;;16.0;86.0;;3.51;;;5.0
866;6.8;;0.22;2.3;0.071;;24.0;0.99438;;;11.3;6.0
867;;0.51;0.23;2.0;;;22.0;;;;11.2;
868;;;0.22;;0.074;;24.0;;;;;
869;;;;;0.08;;43.0;0.99578;;;;
870;7.7;;0.01;;0.064;31.0;43.0;0.99371;;;11.8;
871;6.9;;0.03;1.5;0.086;;46.0;;;0.57;;5.0
872;;;;;;28.0;;0.99576;;;10.0;
873;;0.21;;1.6;0.067;6.0;;;;;11.1;
874;;0.38;0.46;;;6.0;10.0;0.99664;;;;7.0
875;8.8;;0.4;;;;;;;0.79;;7.0
876;7.1;0.47;;2.2;0.067;;14.0;0.99517;;0.58;;4.0
877;;;0.01;;;31.0;;;3.41;;;
878;;;0.19;;;30.0;;0.99787;3.22;0.5;;6.0
879;;;0.04;2.5;0.076;;;;3.53;;9.5;5.0
880;9.2;0.56;;;0.078;;21.0;;3.15;0.49;9.9;5.0
881;;;0.0;;0.068;;;;;0.65;11.4;
882;8.4;0.31;0.29;;;14.0;26.0;0.99536;3.22;0.78;;6.0
883;7.2;;;;;;;;3.53;;9.5;
884;;;0.19;;0.094;;69.0;;3.22;0.5;10.0;6.0
885;;;0.14;;;;;0.99824;3.34;;10.5;5.0
886;;;;2.4;0.083;;28.0;;3.33;0.65;10.4;
887;;;;;0.066;;56.0;;3.15;0.79;;7.0
888;;0.57;0.0;;0.072;32.0;;;3.43;0.56;11.2;6.0
889;10.7;;0.34;;0.112;;99.0;;;0.68;;
890;;;;2.0;;;;0.99576;;;;
891;;;;2.3;0.078;16.0;86.0;0.99743;;0.57;9.7;
892;10.1;;0.23;1.9;0.082;10.0;18.0;0.99774;;0.65;9.3;
893;7.2;;0.03;2.3;0.078;;86.0;0.99743;;;;5.0
894;7.2;;;2.2;0.08;17.0;;;3.53;0.58;;
895;7.1;0.59;0.01;;;27.0;;0.9955;3.42;;10.7;
896;;;;;;;43.0;0.99444;3.31;0.77;12.5;7.0
897;7.1;;0.01;;0.08;;43.0;;3.42;0.58;10.7;
898;8.3;0.31;;2.4;0.078;17.0;43.0;;3.31;0.77;12.5;
899;8.3;;0.02;3.4;0.084;;11.0;;3.48;;;
900;8.9;0.31;0.36;;0.056;;;;;;;5.0
901;7.4;0.635;;;0.08;;;0.99736;;;10.8;7.0
902;7.4;;;2.4;0.08;16.0;;;3.58;0.69;;
903;;0.59;0.06;;;;18.0;;;0.59;;7.0
904;6.8;;0.06;;;;18.0;;3.41;;;7.0
905;;0.58;;3.0;;15.0;;0.998;;0.59;;
906;;;;;0.084;12.0;78.0;0.9964;;;;
907;6.1;;0.0;2.2;0.079;6.0;;0.9948;;;11.5;6.0
908;;;;2.4;0.078;;61.0;;3.43;;10.8;6.0
909;7.3;0.305;;1.2;;;11.0;0.99331;3.29;;;
910;9.3;0.38;0.48;3.8;0.132;;;;3.23;0.57;13.2;
911;;;0.46;;0.114;3.0;;;;0.6;10.9;6.0
912;10.0;;0.44;2.9;;4.0;8.0;0.99674;3.33;0.62;;
913;;0.395;;;;;;0.99639;3.27;0.64;12.2;7.0
914;;;;;0.059;;;0.99331;;0.52;;6.0
915;8.6;;0.4;2.2;;3.0;;;3.27;;11.9;6.0
916;5.3;0.715;;1.5;0.161;7.0;;0.99395;3.62;;;5.0
917;;0.41;;8.8;;26.0;;0.99824;;;10.1;
918;8.4;;0.32;;;32.0;79.0;0.9964;3.3;0.72;11.0;6.0
919;8.4;;;1.8;0.072;38.0;;0.99504;;;;6.0
920;9.6;;;;;10.0;23.0;0.99786;3.24;0.56;10.5;
921;8.4;;;2.2;0.081;32.0;;;;0.72;11.0;6.0
922;8.4;0.62;0.12;1.8;;38.0;46.0;0.99504;3.38;;;
923;6.8;0.41;0.31;8.8;;;;0.99824;3.38;;10.1;
924;;0.47;;;;;28.0;0.99516;3.18;;;
925;;;;;;;77.0;;;;11.0;7.0
926;9.4;0.24;;;;;73.0;;;0.9;;
927;8.4;0.67;0.19;2.2;;;;;3.2;;;
928;8.6;0.47;0.27;;0.055;14.0;28.0;;;;11.2;
929;;;;3.3;0.063;10.0;;0.99468;3.3;;;7.0
930;;;;1.9;;8.0;;0.99746;;;;
931;;0.61;0.01;2.0;0.074;13.0;;0.99748;;;9.8;5.0
932;;;0.29;1.9;;;66.0;0.9971;;;9.5;
933;;0.61;0.01;;0.074;13.0;;0.99748;;0.65;;5.0
934;;0.61;0.01;1.9;0.08;;25.0;;;;;5.0
935;8.8;;0.38;;;19.0;;0.99543;;;11.8;6.0
936;;;0.38;;;19.0;;0.99543;3.39;0.72;;
937;;;;1.4;0.071;;;;;;10.4;4.0
938;7.2;;;2.8;;23.0;;0.99356;;0.72;12.9;7.0
939;;0.46;;;;7.0;;0.99425;;;11.4;5.0
940;;;0.52;2.2;;;25.0;;;0.76;12.4;7.0
941;;;;;0.082;9.0;;0.99484;3.19;0.52;12.5;7.0
942;10.1;0.43;;;0.092;13.0;;;3.22;0.64;;
943;9.8;0.5;;;;10.0;45.0;0.99864;;;;
944;;;0.49;;;;24.0;0.99498;3.27;;12.1;7.0
945;;;;2.0;0.071;7.0;20.0;0.99566;3.14;0.79;11.1;
946;;;0.58;;0.092;;24.0;0.99745;3.29;;12.0;7.0
947;8.3;0.28;;2.1;0.093;;;;;;;
948;;;0.45;1.8;;10.0;;;3.41;;;7.0
949;;0.12;0.45;1.8;;10.0;;;3.41;0.76;11.9;
950;8.9;0.12;;;;10.0;21.0;;;0.76;;
951;8.3;0.28;0.48;2.1;;6.0;;0.99408;3.26;0.62;12.4;7.0
952;;0.31;0.4;2.2;0.058;6.0;;;;;;
953;;;0.48;2.1;;5.0;;;3.2;;12.1;7.0
954;;0.43;0.4;;0.082;6.0;;0.99538;3.44;;;
955;;;0.52;1.9;0.09;9.0;23.0;0.99648;;;10.4;
956;;;0.52;;0.111;5.0;;;;;11.3;
957;9.5;0.37;0.52;;0.088;12.0;;;3.29;;;
958;6.4;;0.12;2.3;0.12;25.0;36.0;0.99519;3.47;;;7.0
959;;0.59;;2.0;;12.0;;0.99735;;;;
960;;0.47;;;;;38.0;;;;;
961;7.1;0.56;;1.6;;;;;3.27;0.62;9.3;
962;;0.57;0.02;;;6.0;16.0;0.99654;3.38;;9.5;
963;8.8;0.27;;;;;27.0;;;0.69;11.2;6.0
964;8.5;;;;;18.0;38.0;;3.16;0.85;;6.0
965;;;0.4;2.4;;24.0;;0.99554;3.34;;;
966;;0.38;0.41;;;;;0.99604;;;;
967;;;0.2;2.1;;;113.0;;3.13;0.48;9.2;
968;;;0.43;;;;;;;0.6;;
969;6.7;0.56;;;0.079;;22.0;;;0.61;10.2;
970;;0.26;;1.9;0.066;;10.0;0.99724;;0.87;;6.0
971;10.4;;0.48;1.9;0.066;6.0;10.0;0.99724;3.33;;;
972;10.1;0.38;;2.4;0.104;;;;;0.65;11.6;
973;;0.34;;1.7;0.079;6.0;;;;0.63;;
974;8.8;0.33;0.41;;;;;;;0.62;;
975;7.2;0.41;;2.1;0.083;;;0.997;;;9.4;
976;7.2;0.41;0.3;2.1;;;;;3.44;;;
977;8.4;0.59;;2.6;;31.0;119.0;;3.15;;;5.0
978;7.0;;;3.6;;9.0;29.0;0.99416;;;11.3;7.0
979;12.2;0.45;0.49;;;3.0;;;3.13;;10.4;5.0
980;;;0.3;;0.065;8.0;17.0;0.99774;3.32;0.71;10.5;6.0
981;;;0.26;1.9;0.079;;;0.99712;;0.62;10.0;
982;7.3;0.52;0.32;2.1;;51.0;70.0;;3.34;0.82;12.9;
983;;0.5;;1.9;;8.0;17.0;0.99774;;0.71;;
984;12.2;;0.49;;;3.0;6.0;0.9969;;0.63;10.4;5.0
985;;0.58;;;0.064;7.0;11.0;0.99562;3.45;0.58;11.3;6.0
986;;0.34;;1.4;0.066;;7.0;;3.19;;;7.0
987;;0.36;;1.6;;35.0;70.0;0.99693;;0.5;9.4;5.0
988;;;0.12;1.7;;;27.0;;;0.49;9.4;5.0
989;9.7;0.295;;;;;21.0;0.99556;3.14;0.51;;
990;7.7;0.39;0.12;;0.097;;27.0;0.99596;3.16;;9.4;5.0
991;;;;2.0;0.082;;;;;0.48;;5.0
992;;0.4;;;;30.0;;;;0.48;9.4;
993;7.1;0.34;0.28;2.0;0.082;31.0;;0.99694;3.45;;9.4;
994;10.0;0.35;;2.5;0.092;20.0;;0.99918;3.15;0.43;9.4;5.0
995;;0.6;;;0.079;;;0.99697;3.39;0.62;10.1;
996;5.6;0.66;0.0;;;3.0;11.0;;;0.63;12.8;
997;5.6;;;;;3.0;11.0;;3.71;0.63;;7.0
998;;;;1.4;0.05;4.0;10.0;;3.12;0.48;;6.0
999;;0.69;0.0;;;7.0;;;;0.53;;
1000;;;;2.2;0.062;;;0.99495;3.44;0.72;11.5;7.0
1001;;;;;0.058;31.0;47.0;0.99676;;;;
1002;;;0.33;;;13.0;27.0;0.99516;3.26;;;
1003;;0.36;;;0.067;4.0;;;;0.55;12.8;7.0
1004;8.2;0.43;;1.6;0.081;;;0.99603;;;10.3;5.0
1005;;;0.32;1.8;;;;0.9928;3.36;;;7.0
1006;9.1;;;;0.063;13.0;27.0;0.99516;3.26;0.84;;7.0
1007;9.1;0.3;;;;12.0;25.0;0.99516;;;11.7;
1008;8.9;;0.4;;0.11;;;;;;12.0;7.0
1009;;0.5;;2.8;0.116;26.0;;0.99722;3.18;;10.9;
1010;8.9;;;1.7;0.067;;12.0;0.99354;3.25;;;7.0
1011;8.9;0.32;0.31;;;12.0;;0.9957;3.17;;10.4;6.0
1012;;;0.15;2.1;;11.0;;;;0.48;10.0;5.0
1013;7.5;0.71;;1.6;0.092;22.0;;0.99635;;0.58;10.0;6.0
1014;8.0;0.58;0.16;;;;;;3.22;;;6.0
1015;;;;;;;;0.99598;;;;6.0
1016;8.9;;;;0.068;12.0;;0.99486;3.27;0.75;12.6;
1017;8.0;;0.37;;0.049;36.0;;;2.89;0.44;;6.0
1018;8.0;0.18;0.37;0.9;0.049;36.0;109.0;;;;12.7;6.0
1019;7.0;0.5;0.14;;0.078;10.0;;;;;;
1020;11.3;0.36;;2.4;;;;;;;;
1021;11.3;0.36;;;0.123;3.0;;0.99642;;;11.9;
1022;;0.51;;2.1;;;;;3.35;0.54;10.5;
1023;8.2;;0.42;2.3;;;9.0;0.99506;3.27;0.55;;
1024;7.7;;0.01;1.8;0.088;12.0;18.0;0.99568;;0.56;10.5;7.0
1025;;;0.0;2.8;;;43.0;;;0.6;10.4;6.0
1026;;0.31;;1.9;;14.0;;0.99364;;0.56;;
1027;6.4;0.795;0.0;2.2;;28.0;52.0;0.99378;;;;
1028;;0.34;;;0.075;;68.0;0.99586;;;;
1029;7.7;;;1.8;;12.0;;;;0.56;10.5;
1030;7.1;0.59;;;;;;;3.42;;;
1031;7.3;0.55;;;;;;0.99514;3.35;;11.0;
1032;;;0.0;4.1;0.095;5.0;;0.99854;3.36;0.53;;5.0
1033;;0.57;;;;;;;;0.59;;
1034;8.9;;;2.5;0.077;;48.0;0.99739;;0.47;9.7;6.0
1035;;0.37;;2.4;0.085;5.0;;0.99683;;;10.6;
1036;7.6;;;2.5;0.082;26.0;;0.99356;3.22;0.59;12.5;
1037;;0.91;;;;20.0;56.0;;3.35;;;5.0
1038;8.7;;0.41;6.2;0.078;;42.0;;3.24;;12.6;
1039;8.9;0.5;;2.2;;;;;;;;6.0
1040;7.4;0.965;0.0;;0.088;;;0.99756;3.58;0.67;;5.0
1041;6.9;0.49;0.19;1.7;0.079;;;;;;9.8;6.0
1042;;0.5;;;0.088;21.0;39.0;0.99692;3.33;0.83;11.1;6.0
1043;9.5;0.39;;8.9;0.069;;;;;;;7.0
1044;6.4;0.39;;;0.046;;;;;;;6.0
1045;;;0.0;1.4;;;;0.99438;3.32;0.58;11.4;
1046;;;0.0;;0.076;;;0.99612;;;;6.0
1047;7.1;;0.17;;;;51.0;;3.49;;;
1048;;0.49;;1.7;;3.0;14.0;0.99702;;0.78;10.9;
1049;9.3;;;;;;;0.99704;3.27;;10.8;6.0
1050;7.1;0.43;;;0.082;;51.0;0.99634;;;10.4;
1051;8.5;0.46;0.59;;;16.0;45.0;0.99702;;;;5.0
1052;;;;;;;25.0;0.99258;;0.55;12.9;5.0
1053;8.3;0.33;;;;9.0;;0.99426;;;;
1054;;0.64;0.27;2.0;0.095;;77.0;;;;9.1;
1055;;;0.27;;;5.0;77.0;0.99747;;;;
1056;;;;;;;;0.99586;;;;7.0
1057;7.6;0.42;;3.9;0.104;;;;3.15;0.57;;
1058;;0.53;;2.4;;30.0;52.0;0.9971;3.19;0.76;;7.0
1059;8.9;;;;;3.0;10.0;;3.21;0.59;;
1060;11.6;;;1.8;;;8.0;;;0.7;9.9;6.0
1061;;0.4;;1.8;0.071;7.0;;;3.21;;;
1062;8.0;0.38;0.44;;0.098;;15.0;0.9956;3.3;0.64;;6.0
1063;10.2;0.29;;;0.075;;;;;;;6.0
1064;;0.74;0.09;2.0;0.067;;;0.99418;;;11.8;6.0
1065;7.7;0.61;0.18;;;;20.0;0.9963;;0.6;;6.0
1066;6.6;;;;;13.0;26.0;0.99358;;;12.5;7.0
1067;11.1;0.31;;;;;;;3.02;;10.9;
1068;11.1;0.31;0.53;;;;10.0;;;0.83;;7.0
1069;8.0;;0.35;;;;52.0;0.997;;;10.8;
1070;;;;1.5;0.057;;37.0;;3.18;0.89;;
1071;7.5;0.77;0.2;;0.098;;92.0;;;;;5.0
1072;;0.35;;;0.083;33.0;75.0;;3.4;0.58;9.5;6.0
1073;;0.62;0.33;2.7;0.088;;;;3.31;;10.7;
1074;;;;;;30.0;92.0;0.99892;3.2;;9.2;5.0
1075;;;;2.0;;;;;;;10.2;
1076;9.9;0.32;0.56;;0.073;;8.0;0.99534;3.15;;11.4;6.0
1077;;;;;0.08;3.0;;0.99817;;0.58;11.0;5.0
1078;8.6;0.37;0.65;;0.08;;8.0;;3.27;;;
1079;7.9;;;;;;;;;;12.3;7.0
1080;10.3;;0.56;;0.047;3.0;8.0;0.99471;;0.51;11.8;6.0
1081;7.9;;0.68;;;37.5;;0.99316;3.01;0.51;;7.0
1082;;0.38;;;;31.0;70.0;0.99685;3.42;0.59;;
1083;;0.42;;;;32.0;;;;;;
1084;;0.38;0.3;1.8;0.073;;70.0;;;;9.5;
1085;;0.48;;1.8;0.074;;;0.99529;;;9.6;
1086;;;0.4;;;;;;;;11.6;7.0
1087;;;0.42;;;18.0;;;3.29;0.69;11.2;6.0
1088;11.6;0.41;;1.5;;;;0.99735;3.02;;;7.0
1089;11.6;0.41;;;;;41.0;;3.02;0.76;9.9;
1090;;;0.54;;;;;;2.98;0.63;;8.0
1091;;;;2.0;0.086;;19.0;;3.35;;11.4;6.0
1092;;;0.09;;;10.0;;0.99479;3.43;;;
1093;;;;;0.079;;31.0;;3.33;0.86;12.0;
1094;6.6;;0.09;5.5;0.117;9.0;;0.99655;;;;6.0
1095;9.4;0.4;;;0.087;;20.0;0.99772;3.15;0.5;;5.0
1096;6.6;0.725;0.09;;0.117;;17.0;0.99655;;0.49;;6.0
1097;;;;1.5;0.096;5.0;;;;0.52;;
1098;8.0;;0.45;2.1;0.216;5.0;;0.99358;3.15;0.81;;
1099;8.6;0.52;;1.5;;;;0.99666;3.2;;;
1100;8.4;;;;0.072;23.0;;;3.11;;;
1101;;0.49;0.27;;0.071;;;;;;;6.0
1102;;0.48;;;0.078;18.0;30.0;0.99402;3.45;;;
1103;7.4;0.49;;2.1;0.071;14.0;;0.99388;3.35;;12.0;
1104;8.0;;;;0.073;16.0;25.0;;;;;6.0
1105;;0.57;0.28;2.1;;13.0;49.0;;;0.6;;
1106;8.2;;0.42;;0.069;;17.0;;3.21;0.54;;6.0
1107;;;0.41;2.0;0.068;;24.0;;3.27;;;
1108;;0.78;;3.3;0.09;;;;3.36;;9.5;5.0
1109;10.8;0.47;0.43;;0.171;27.0;;0.9982;;0.76;10.8;
1110;;;0.0;;0.07;6.0;14.0;;3.25;;10.0;6.0
1111;;0.42;;;0.092;23.0;55.0;0.99471;;0.64;;7.0
1112;;0.33;;;0.056;;35.0;0.99396;;0.71;;6.0
1113;8.9;0.24;;1.6;;;;0.99698;3.12;0.59;9.5;
1114;5.0;0.4;;4.3;;;;;;0.66;13.6;6.0
1115;7.0;;0.07;;0.091;15.0;;;;0.6;11.3;6.0
1116;7.0;0.69;0.07;;0.091;;21.0;;;0.6;11.3;6.0
1117;7.0;0.69;0.07;;0.091;;21.0;;;;11.3;
1118;7.1;0.39;0.12;2.1;0.065;14.0;24.0;0.99252;3.3;;13.3;
1119;;0.66;;2.5;0.066;7.0;15.0;;;0.58;;
1120;7.9;0.54;;;;;17.0;0.99235;3.2;;;8.0
1121;;;;;;21.0;28.0;;;0.55;12.3;6.0
1122;;0.47;;1.4;0.055;27.0;33.0;0.9922;3.45;;12.3;6.0
1123;10.7;;0.37;;0.081;17.0;;0.99674;;0.65;11.2;
1124;;;;2.2;0.096;3.0;13.0;;3.62;;11.5;
1125;8.8;0.24;;;0.055;;27.0;0.99394;;;;
1126;5.8;0.29;0.26;;;3.0;11.0;0.9915;;;13.5;
1127;6.3;0.76;0.0;;;26.0;;0.99379;;;11.5;
1128;10.0;;;2.7;0.095;28.0;89.0;;;0.68;;
1129;10.5;;;;0.092;;70.0;;;0.69;;
1130;9.1;0.6;;;;5.0;10.0;;3.18;;10.4;6.0
1131;5.9;0.19;;1.7;;;135.0;0.99341;;;;
1132;7.4;;0.34;;0.075;;38.0;0.9933;;;13.6;7.0
1133;;;0.07;;0.089;;;0.99684;;0.68;;7.0
1134;;0.28;;;0.061;;15.0;;;0.74;11.8;7.0
1135;8.0;0.25;0.43;;0.067;22.0;50.0;0.9946;;0.6;;6.0
1136;;;0.45;;0.08;6.0;13.0;0.99774;3.22;0.76;;
1137;10.4;0.52;0.45;;;6.0;;;3.22;0.76;;6.0
1138;7.5;;0.15;;0.104;;94.0;;;0.58;9.1;
1139;;;0.24;;;16.0;;;3.34;;;
1140;;0.4;;;;33.0;79.0;0.9969;;;;6.0
1141;;0.38;0.32;;0.08;;71.0;0.99624;;;11.0;6.0
1142;6.9;0.45;;;;6.0;12.0;;3.3;;;6.0
1143;7.0;;0.3;;0.065;;20.0;0.99672;3.61;0.82;;6.0
1144;7.3;0.32;;;0.066;;70.0;0.99588;3.43;0.62;10.1;
1145;8.2;;;;;31.0;;;;0.81;10.4;
1146;;;0.12;1.8;0.178;;21.0;0.996;3.28;0.87;9.8;6.0
1147;10.0;;0.45;;;6.0;;;3.21;;;
1148;;;;;0.086;;21.0;;;0.66;;
1149;10.0;0.35;0.47;2.0;0.061;;11.0;;3.23;0.52;;
1150;8.2;0.33;0.32;;;;;0.99473;;0.76;;7.0
1151;6.1;0.58;;2.5;;16.0;;0.99352;;;;
1152;8.3;;0.25;;0.118;9.0;;;3.15;0.53;;5.0
1153;9.6;0.42;;;;17.0;38.0;0.99622;3.23;;;6.0
1154;6.6;0.58;0.0;;0.1;50.0;63.0;;;0.68;11.4;6.0
1155;;0.6;;2.2;;9.0;38.0;;3.15;0.53;9.8;5.0
1156;;0.18;0.51;1.75;0.071;;;0.99524;3.33;0.76;11.8;7.0
1157;5.1;0.51;0.18;2.1;0.042;16.0;101.0;0.9924;3.46;;12.9;
1158;;;;;0.076;22.0;54.0;;3.42;1.16;;
1159;10.2;0.41;;;0.11;;37.0;0.99728;;0.67;;
1160;;;;;;;20.0;0.99676;3.14;0.72;11.1;
1161;8.8;;0.43;1.4;;12.0;;;;0.75;10.2;6.0
1162;;;0.42;;0.075;;;0.99434;;;11.8;7.0
1163;;0.785;;1.7;;10.0;;;;0.67;10.0;5.0
1164;;0.785;0.24;1.7;;;21.0;0.99692;;;10.0;5.0
1165;8.5;0.44;0.5;1.9;;;;;;;;
1166;9.9;;;2.0;0.111;7.0;60.0;0.99709;;;10.2;5.0
1167;;;;;;29.0;;0.99528;;0.88;;7.0
1168;6.5;;0.27;2.8;0.067;;;0.99384;;;;6.0
1169;;;;;;;14.0;0.99502;3.32;;;6.0
1170;9.2;;0.34;1.6;0.062;5.0;12.0;0.99667;;;;
1171;7.1;;0.0;;;26.0;;0.99522;;;;6.0
1172;;0.42;;2.1;0.074;5.0;16.0;0.99649;3.27;0.74;;
1173;7.6;0.36;;;;26.0;;;;0.62;;6.0
1174;7.6;0.36;0.31;;0.079;;;0.99716;3.46;0.62;9.5;6.0
1175;6.5;0.61;0.0;2.2;;48.0;59.0;;;0.7;;
1176;6.5;0.88;0.03;;0.079;23.0;47.0;0.99572;;;;
1177;;;0.0;2.4;0.052;;11.0;;;0.66;;7.0
1178;;;0.0;2.1;;;78.0;0.99346;;;;
1179;;;;2.4;0.076;11.0;47.0;;3.27;0.81;;
1180;;;;2.4;;11.0;;;;;11.0;6.0
1181;;;;;;5.0;;0.99478;;0.46;11.4;5.0
1182;;;0.4;;;;;0.99754;;;;6.0
1183;;;0.07;;;16.0;61.0;0.99572;3.29;0.6;9.3;5.0
1184;;;0.23;2.1;0.08;11.0;119.0;;3.36;;10.9;5.0
1185;;;0.3;;0.085;6.0;;;3.33;0.46;;6.0
1186;;0.8;;;0.079;;12.0;0.9963;;;12.2;
1187;;;0.3;;0.085;6.0;;0.99346;;;;
1188;6.7;;0.23;;0.08;;;;;0.7;;
1189;8.8;0.955;0.05;1.8;;;;;;0.44;;
1190;;0.4;;;0.08;6.0;;0.99652;;0.57;12.5;
1191;6.5;0.885;;;0.166;6.0;12.0;;3.56;0.51;10.8;5.0
1192;;0.25;0.37;;;11.0;41.0;0.99439;;0.8;12.4;7.0
1193;;0.885;;2.3;0.166;;;0.99551;3.56;;;5.0
1194;7.0;0.745;;1.8;0.114;;64.0;;;0.59;;
1195;6.2;;;1.8;0.078;;;0.99633;;;9.5;
1196;7.9;;0.23;2.3;0.076;;;0.99686;;0.58;9.5;6.0
1197;7.7;;;;0.069;;9.0;;3.16;;;6.0
1198;;0.26;;;;;77.0;0.9951;3.15;;10.9;
1199;;;0.23;;0.076;;;;3.21;0.58;;
1200;;0.57;0.21;;0.069;;;0.99458;;0.54;;
1201;7.9;0.34;0.36;1.9;0.065;;;0.99419;3.27;0.54;11.2;
1202;8.6;0.42;;1.8;0.068;;;;;0.69;;8.0
1203;9.9;;0.19;;0.111;33.0;76.0;0.99878;;;;5.0
1204;7.2;;;2.1;0.074;;44.0;0.99534;3.4;0.85;11.0;
