;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1205;7.2;0.36;0.46;;;24.0;44.0;;;;;
1206;;;0.46;2.1;;;44.0;;;;;
1207;9.9;0.72;0.55;;;;;;3.35;0.94;10.0;5.0
1208;7.2;;;;0.074;;;;;;;
1209;;;;;0.071;14.0;24.0;0.99428;3.45;;11.2;
1210;;;0.02;2.1;;;;;;;;6.0
1211;6.6;;;;;22.0;53.0;0.9957;;0.62;;
1212;;0.65;0.02;;;;;0.99498;3.35;;10.4;6.0
1213;;;;1.9;0.071;5.0;13.0;0.99659;3.15;0.75;;6.0
1214;;0.33;0.46;;0.081;6.0;;;;;;6.0
1215;8.8;;;;;;;;;0.56;11.3;6.0
1216;;;;2.0;;10.0;79.0;0.99677;3.29;0.69;9.5;
1217;;0.34;0.37;1.9;0.057;43.0;;;3.23;;12.0;6.0
1218;;0.4;;;;;24.0;0.996;3.24;0.69;;6.0
1219;;;0.4;1.3;;;;0.99478;3.2;;10.9;6.0
1220;;;;1.8;0.132;;;;;0.77;;
1221;10.9;0.32;;1.8;;17.0;;0.99734;3.28;0.77;11.5;6.0
1222;8.1;;0.22;2.2;;;;0.99678;3.26;;;
1223;;0.36;;2.2;;9.0;;;;0.76;12.0;6.0
1224;12.6;0.39;;;;8.0;20.0;0.9992;3.07;0.82;10.3;6.0
1225;;0.46;;;0.091;18.0;77.0;0.99922;3.15;0.51;;5.0
1226;7.5;;;4.1;;27.0;46.0;;3.02;0.47;9.2;
1227;;0.58;;;;;;;3.27;0.72;;
1228;;;;1.8;0.044;18.0;;;;0.73;;
1229;7.6;;0.29;2.1;;19.0;66.0;0.99718;;;9.5;
1230;7.7;0.18;0.34;2.7;0.066;15.0;58.0;;3.37;;;
1231;7.8;0.815;;;;48.0;90.0;0.99621;3.38;;;5.0
1232;7.6;0.43;;;;19.0;66.0;;3.4;;9.5;5.0
1233;10.2;0.23;;2.2;0.057;14.0;36.0;;;;9.3;4.0
1234;;;0.01;2.2;0.059;;;0.99242;3.39;0.4;12.8;
1235;6.0;;0.32;12.9;;6.0;;0.99572;3.3;0.56;;4.0
1236;;0.55;;;0.07;7.0;17.0;0.99659;3.26;;9.4;
1237;7.1;0.75;;2.2;;11.0;;;3.39;0.4;;
1238;;;;2.5;;12.0;24.0;;;0.46;;4.0
1239;6.5;;0.0;4.3;;;20.0;;;0.56;;
1240;;0.61;;;;36.0;;;;0.4;9.3;
1241;;0.37;0.39;;0.079;;;0.99729;;0.59;;
1242;9.0;;0.41;2.0;;;40.0;0.99414;;;12.2;6.0
1243;;;0.22;2.4;;10.0;86.0;;3.37;0.62;;
1244;5.9;;;;;72.0;160.0;;;0.54;10.3;
1245;;0.55;0.19;;;;34.0;;3.49;;10.5;5.0
1246;7.4;0.74;0.07;;0.086;15.0;;;3.12;;10.0;5.0
1247;7.4;0.55;;1.8;;;34.0;;3.49;;;
1248;6.9;0.41;0.33;;0.081;;36.0;0.9949;3.41;0.75;;
1249;;;;2.3;;;37.0;0.99514;3.4;;;6.0
1250;7.1;0.6;0.01;2.3;0.079;24.0;;0.99514;;;;6.0
1251;7.5;0.58;;2.2;;;;;;0.59;9.8;5.0
1252;;;0.0;1.8;;;;0.99627;;;;5.0
1253;7.9;0.66;;1.4;0.096;;13.0;;3.43;0.58;9.5;
1254;7.8;0.7;;;;20.0;;0.99628;;0.69;;
1255;6.1;;;;;26.0;46.0;0.99358;;0.45;;
1256;;0.59;;1.8;0.082;43.0;60.0;0.99499;;0.42;;5.0
1257;;;0.28;4.8;0.085;12.0;69.0;;;0.7;;
1258;6.8;0.64;0.0;;;15.0;33.0;0.99538;3.44;;11.3;
1259;;;;;0.123;;;0.99538;3.44;;;6.0
1260;;0.635;0.68;1.8;0.403;;;0.99632;3.02;1.15;9.3;5.0
1261;;1.02;0.0;2.0;;17.0;;;3.59;;11.2;4.0
1262;9.8;0.45;0.38;;0.081;34.0;66.0;;;;;5.0
1263;8.2;0.78;;;0.089;13.0;26.0;;3.37;0.46;;4.0
1264;8.5;0.37;;;;26.0;51.0;;;0.72;;6.0
1265;;0.57;;2.3;;;;;;0.6;10.3;
1266;;;0.05;;0.081;;;;3.38;0.6;;
1267;;0.43;0.5;;0.068;13.0;;0.996;3.1;;11.4;
1268;6.9;;0.31;2.0;;21.0;51.0;0.99668;3.47;;9.5;6.0
1269;;0.49;0.03;1.8;;28.0;;;;0.82;;
1270;5.0;0.38;;;0.048;26.0;60.0;;3.7;0.75;;6.0
1271;7.3;0.44;0.2;1.6;;;;0.9935;3.38;;;6.0
1272;;0.46;;1.9;;;;;;;;5.0
1273;7.5;0.58;0.2;;0.073;34.0;;0.99494;;0.43;;
1274;;0.58;0.13;2.1;;;36.0;0.9944;3.24;;;6.0
1275;;0.715;;2.3;;;81.0;0.99688;;;;6.0
1276;;;0.4;6.3;0.05;3.0;;0.99566;3.28;;12.0;
1277;7.0;0.69;;1.9;0.114;;;0.99636;3.35;;;6.0
1278;8.0;0.715;0.22;2.3;0.075;;;0.99688;;0.54;;
1279;;0.3;;1.7;;;;0.9948;3.14;0.57;11.5;7.0
1280;7.1;;;1.9;;;54.0;;3.37;0.64;;6.0
1281;;0.46;;1.9;0.077;;54.0;;;0.64;10.4;6.0
1282;7.9;0.765;0.0;2.0;0.084;9.0;22.0;0.99619;3.33;;;6.0
1283;8.7;;;;;;69.0;0.99734;;;;6.0
1284;7.0;;;;0.071;;36.0;0.99476;3.39;;;
1285;;;;;;;47.0;0.99734;3.15;0.57;;5.0
1286;;0.16;0.44;;0.068;;31.0;0.99328;;0.54;;
1287;;;;;0.056;3.0;7.0;0.99286;;0.37;;5.0
1288;7.0;0.6;0.3;;0.068;;110.0;0.99914;;1.17;;
1289;;;0.3;4.5;;;;0.99914;3.3;;;
1290;;0.74;0.0;;0.1;;12.0;;;0.59;11.0;
1291;8.2;;0.1;;;25.0;60.0;0.99638;3.29;;;
1292;5.9;;0.13;;;14.0;;0.99362;;;;
1293;;;;1.9;;6.0;12.0;;3.34;;;4.0
1294;;;;2.1;0.073;;60.0;0.99638;;0.75;;6.0
1295;;0.63;;;0.093;;77.5;;;;9.5;
1296;;;;4.3;;51.0;;;3.2;;9.5;5.0
1297;;;;;;15.0;29.0;;;;;6.0
1298;;;;;;11.0;18.0;0.99191;3.45;0.56;;6.0
1299;7.6;;;;0.137;;9.0;0.99476;;0.4;;
1300;5.2;;0.0;2.15;0.08;15.0;28.0;;;;12.5;
1301;;;0.07;;;20.0;57.0;;;0.74;;6.0
1302;;0.37;0.32;2.1;0.064;4.0;;0.99576;;0.8;11.2;6.0
1303;;;0.44;;;28.0;;;;0.66;;
1304;7.6;;;2.3;0.087;21.0;68.0;0.9955;;0.44;9.2;
1305;7.5;;0.26;;0.073;24.0;;0.99612;;;;5.0
1306;;0.69;0.32;2.5;;22.0;91.0;0.9979;;0.62;;5.0
1307;6.8;;;;0.068;;29.0;0.99524;3.41;;;
1308;9.7;;0.32;;0.088;22.0;;;3.29;;10.1;5.0
1309;;0.62;;;0.071;27.0;63.0;;;0.61;9.2;
1310;;;;;;24.0;;;3.3;;;5.0
1311;6.5;0.51;;3.0;;12.0;27.0;;3.33;;;6.0
1312;;1.18;0.21;;;;;0.99532;;;10.5;5.0
1313;;0.36;;2.3;;20.0;65.0;;3.4;0.54;10.1;
1314;7.0;0.36;0.21;2.4;;;69.0;0.99556;;0.53;10.1;
1315;;;;2.0;;;91.0;0.99616;3.26;;9.8;
1316;5.4;0.74;;;0.041;;;0.99258;4.01;0.59;12.5;
1317;;;;;;10.0;;;3.18;0.69;;
1318;;;;2.0;;;;;;;;6.0
1319;;;0.68;1.7;0.414;;64.0;;;1.33;9.1;
1320;;0.66;0.34;2.6;;;;0.99796;;;10.1;5.0
1321;;0.74;0.0;;0.041;16.0;46.0;;4.01;0.59;;
1322;9.1;0.34;0.42;1.8;0.058;9.0;;0.99392;;;;
1323;9.1;0.36;0.39;1.8;;21.0;;;;0.82;11.0;
1324;6.7;0.46;;1.7;0.077;;34.0;;;;;
1325;;0.46;;1.7;0.077;;34.0;0.9948;3.39;;10.6;
1326;6.7;;0.24;;;18.0;34.0;0.9948;;0.6;10.6;6.0
1327;6.7;;0.24;;;;;0.9948;3.39;0.6;;6.0
1328;;;0.11;1.8;0.073;13.0;;0.9955;3.34;;9.3;
1329;7.4;0.6;;2.1;;;;;;;9.8;
1330;;;;;;17.0;;0.99616;3.29;;9.8;
1331;;;;;0.107;;67.0;;;;;
1332;;;;;0.075;6.0;25.0;;;;9.7;
1333;;;0.22;;0.079;;48.0;0.9976;3.18;;9.6;
1334;;;0.0;;;;;0.99608;;;10.0;
1335;6.6;0.58;;2.4;0.069;19.0;40.0;;3.38;0.66;12.6;
1336;6.0;;0.0;;0.057;;26.0;0.99448;3.36;;;5.0
1337;6.0;0.5;;;;;;;;;;
1338;6.0;;;1.4;0.057;;26.0;;;;;5.0
1339;;0.51;;;;13.0;;0.99538;3.36;;10.5;6.0
1340;7.5;0.51;0.02;;0.084;;31.0;0.99538;3.36;;10.5;
1341;;;;;;13.0;31.0;0.99538;3.36;0.54;;
1342;7.6;;0.02;1.7;;;;0.99589;3.37;0.51;10.4;
1343;7.5;;;;0.084;;;;;;;6.0
1344;;;0.48;2.6;0.077;8.0;20.0;0.99852;3.09;;11.0;
1345;;;0.24;;;;28.0;;3.25;;10.2;
1346;;;;2.1;0.056;;;;3.52;0.56;;5.0
1347;;;0.03;1.8;;;;;;0.39;9.5;5.0
1348;7.2;0.655;;;;7.0;12.0;0.99587;;0.39;9.5;5.0
1349;;;0.0;;;;;;;0.52;10.8;
1350;9.0;0.6;0.29;2.0;;;;0.99654;;;;5.0
1351;7.2;0.62;;;0.065;8.0;46.0;0.99332;;;;
1352;;0.645;;1.9;;;;0.9969;3.37;;10.3;
1353;;0.645;;;;;57.0;0.9969;;0.46;10.3;5.0
1354;;;0.03;;;;28.0;;;0.52;;
1355;6.1;;0.25;;0.086;;;0.99464;;0.44;10.1;
1356;6.1;0.34;0.25;;0.084;4.0;;0.99464;;;10.1;
1357;;;;2.5;0.078;;67.0;0.99648;;;;
1358;7.4;0.64;;;;;;;;;;5.0
1359;11.6;;0.4;1.4;;6.0;;;3.07;;10.0333333333;6.0
1360;9.2;0.54;0.31;2.3;;11.0;38.0;;;;;5.0
1361;8.3;0.85;;;;13.0;;;;0.54;;5.0
1362;11.6;0.475;0.4;1.4;;6.0;28.0;;;0.65;10.0333333333;
1363;;0.83;0.27;2.0;0.08;11.0;;0.99652;;;9.8;
1364;;0.605;0.02;1.9;;;31.0;0.995;;;;6.0
1365;;0.5;;;0.115;10.0;;0.9971;;0.62;9.5;
1366;;;;;0.094;;;0.99576;3.24;0.5;9.8;
1367;;0.54;0.3;;;;105.0;;;1.18;;
1368;8.0;;;;;16.0;74.0;0.99656;;;9.8;6.0
1369;6.6;0.61;;;0.069;;;0.99396;;;10.4;
1370;8.7;0.78;;;0.415;12.0;66.0;0.99623;;;;5.0
1371;;0.58;;;0.153;;14.0;;;;11.6;
1372;8.7;0.78;;;;;;;3.0;1.17;9.2;5.0
1373;7.7;0.75;;3.8;;34.0;89.0;0.99664;;0.45;;5.0
1374;;0.815;;;0.267;;29.0;0.99471;3.32;;;3.0
1375;;0.56;0.26;;0.083;;100.0;;;0.52;9.9;
1376;8.2;0.885;0.2;1.4;0.086;7.0;31.0;0.9946;3.11;;;5.0
1377;5.2;;;2.3;;23.0;;0.9953;;;12.2;6.0
1378;;;;;0.078;;;0.99609;3.29;;9.9;6.0
1379;;;;2.6;0.077;;35.0;0.99557;3.36;0.62;;
1380;7.5;0.57;0.02;;;11.0;;;;;;6.0
1381;;0.83;0.09;;0.074;;25.0;;;0.45;9.6;
1382;8.0;;;2.1;;;105.0;0.99613;3.3;;;5.0
1383;8.0;;;2.1;0.08;25.0;;;3.3;;9.9;
1384;7.1;;;1.8;;;84.0;;;;9.5;5.0
1385;;0.81;;;0.076;34.0;;0.99668;3.19;0.42;9.2;5.0
1386;;0.64;;;;;;0.9961;3.3;0.58;9.6;
1387;;;0.07;1.8;;8.0;;0.9961;;;;5.0
1388;6.6;;0.31;6.1;;;;;;;;
1389;;0.48;0.02;;0.08;;111.0;;;0.53;9.7;5.0
1390;;0.49;0.0;2.3;0.068;15.0;;0.99292;3.58;0.59;;6.0
1391;;;;;;;33.0;0.99612;;;;5.0
1392;7.1;;0.06;1.3;;;;;3.17;0.48;9.8;
1393;8.0;;;2.0;;19.0;59.0;;;;10.2;5.0
1394;;;;3.9;0.07;;;0.99669;;;9.2;5.0
1395;;0.685;;1.6;0.092;3.0;12.0;0.99745;;;;
1396;8.7;;;1.6;;4.0;;;;;;
1397;7.3;0.59;;2.0;0.08;17.0;;0.99584;3.28;0.52;;
1398;;0.6;;;0.083;;28.0;0.9966;3.52;0.62;;
1399;7.2;0.67;;;;;24.0;;3.42;0.72;;6.0
1400;;0.69;;;;33.0;141.0;;;;;
1401;;0.69;;;0.08;33.0;141.0;0.9962;3.25;;9.9;
1402;;0.3;;;;6.0;;0.9963;3.44;;;6.0
1403;7.2;0.33;;;0.061;3.0;;0.996;;1.1;10.0;
1404;;0.5;;;0.082;;46.0;;3.43;;;
1405;;;0.3;2.0;0.062;18.0;;;3.28;;;7.0
1406;8.2;;;;;8.0;22.0;;;0.94;;
1407;6.0;;;;;40.0;54.0;0.995;3.54;;10.7;
1408;8.1;0.29;;;0.048;35.0;;;3.27;;12.4;
1409;;;;;0.064;;54.0;0.995;;0.93;10.7;
1410;6.6;0.96;;1.8;0.082;;;;3.5;0.44;;
1411;6.4;0.47;;2.4;0.071;;;;;;10.6;
1412;8.2;0.24;;5.1;0.062;;;0.9974;3.22;;10.9;6.0
1413;9.9;0.57;;2.0;;12.0;;;3.04;0.9;;
1414;;;0.59;2.2;;;15.0;0.9994;3.2;0.78;9.6;
1415;6.2;0.58;0.0;1.6;0.065;8.0;;0.9966;;0.84;9.4;
1416;;;;2.2;;;15.0;;;0.78;9.6;5.0
1417;7.3;;;2.5;0.064;21.0;37.0;;;;12.1;7.0
1418;;0.53;0.01;;0.077;;;0.995;;0.46;9.8;5.0
1419;;;0.21;;;32.0;133.0;0.9956;;0.45;9.9;5.0
1420;7.8;;;1.6;;3.0;;;3.16;0.46;9.8;5.0
1421;;;;;;;58.0;0.9965;;;9.4;
1422;;;;2.1;0.079;;;0.9956;3.39;0.84;11.4;6.0
1423;6.4;;0.09;3.9;0.123;14.0;31.0;0.9968;;0.67;11.0;
1424;8.3;;0.37;1.4;;;;0.9974;3.26;0.7;9.6;6.0
1425;;0.26;0.37;;0.076;;23.0;0.9974;;0.7;9.6;
1426;;0.23;;1.8;0.046;23.0;;0.9971;3.41;;;6.0
1427;7.6;0.41;;2.5;0.078;6.0;23.0;0.9957;;0.58;;
1428;7.8;;0.0;;0.072;;55.0;0.9962;;;11.0;5.0
1429;;0.18;0.4;2.2;0.049;38.0;67.0;0.996;;;;
1430;7.4;0.41;;1.8;0.066;;47.0;;3.37;;;5.0
1431;7.6;;;;0.069;13.0;74.0;0.9958;3.26;;9.9;
1432;;0.44;0.0;1.6;0.042;;11.0;;;0.85;11.7;6.0
1433;;;0.16;;;;;0.9955;3.42;;10.1;
1434;10.2;;0.37;15.4;0.214;55.0;;;;;;
1435;;0.54;0.37;15.4;;;95.0;;;;9.0;6.0
1436;10.0;;;;0.169;27.0;;0.99914;;;8.5;5.0
1437;;;;4.8;0.07;15.0;;;;;11.1;5.0
1438;;0.59;0.0;1.7;0.052;;;;3.41;;;5.0
1439;;0.67;0.02;2.2;;;92.0;;3.32;;11.0666666667;6.0
1440;;;;;;15.0;;0.9947;;;;7.0
1441;7.4;0.785;;;0.094;19.0;98.0;0.99713;;;;6.0
1442;;;;1.9;0.078;;;0.99712;;0.75;;5.0
1443;;0.58;0.2;1.75;0.058;8.0;22.0;0.99322;3.38;;;5.0
1444;7.3;;0.02;;;;92.0;;;0.68;;
1445;;0.785;0.19;5.2;0.094;;;0.99713;;;9.6;
1446;6.9;;;;0.078;18.0;30.0;0.99712;3.4;;9.8;
1447;;0.67;0.0;1.9;;22.0;39.0;;;0.74;9.7;5.0
1448;6.9;0.58;0.01;;0.08;;54.0;;;0.73;9.7;
1449;;0.38;0.31;;0.056;;29.0;;;0.76;11.3;
1450;;0.37;0.32;;;;28.0;;;0.73;;
1451;7.8;0.32;;2.7;0.104;;17.0;;3.33;;11.0;
1452;;;0.02;;0.062;37.0;;0.99374;;;11.6;7.0
1453;;;0.33;;;27.0;85.0;;;0.58;;
1454;;0.45;;2.2;;7.0;;0.99974;3.21;0.69;10.9;
1455;6.5;0.9;;;0.052;9.0;17.0;;3.5;0.63;;
1456;;0.54;;;0.05;38.0;;0.99236;;0.5;10.55;6.0
1457;;;;;0.074;;;0.99706;;0.58;9.0;
1458;8.4;0.29;0.4;;;8.0;;;;0.6;10.5;
1459;;0.2;;1.7;0.054;7.0;15.0;0.99458;3.32;;;7.0
1460;6.4;0.42;0.09;;;;;;3.41;0.68;;
1461;;;0.0;2.1;;;;0.99664;3.59;;10.0;
1462;6.8;;0.03;2.3;;;31.0;;;0.58;10.4;6.0
1463;6.9;;0.01;;0.076;;;0.99522;;0.53;;
1464;6.8;;;;;;53.0;0.9958;;;9.7;5.0
1465;6.8;;0.1;;;;;;3.41;;9.7;
1466;7.3;0.48;0.32;2.1;0.062;31.0;;0.99728;;;10.0;7.0
1467;6.7;1.04;0.08;2.3;0.067;19.0;32.0;0.99648;3.52;;11.0;
1468;7.3;;;;0.062;31.0;54.0;;3.3;0.65;;7.0
1469;7.3;;0.05;;0.061;;;;;;9.7;
1470;;;;;;;24.0;0.99578;2.88;0.47;9.7;
1471;;;;3.75;0.067;8.0;;0.99334;;0.52;;
1472;7.6;0.35;0.6;2.6;0.073;;44.0;0.99656;;;;
1473;6.1;;0.08;1.8;0.071;;;;;0.54;11.0;5.0
1474;;0.5;0.5;13.8;0.205;48.0;;;;;8.8;
1475;5.3;0.47;0.11;2.2;;16.0;89.0;0.99182;3.54;;13.5666666667;7.0
1476;9.9;;0.5;13.8;;48.0;;1.00242;;0.75;8.8;
1477;;0.47;0.11;;;16.0;;;;0.88;13.6;7.0
1478;7.1;0.875;;;;3.0;14.0;0.99808;3.4;;10.2;3.0
1479;;0.28;;;0.104;;;0.99828;;0.68;;5.0
1480;;0.62;0.03;;;;;0.99498;;0.62;;4.0
1481;8.2;0.28;;3.0;0.104;10.0;;0.99828;3.39;0.68;;
1482;;;0.54;2.1;;3.0;;;;0.57;;
1483;;0.33;0.44;;;6.0;;0.99542;;;10.7;
1484;;;;2.0;;;11.0;;3.53;;;
1485;7.0;;0.16;;;;;0.99606;;;9.7;5.0
1486;6.8;;;2.1;;;;;;;10.3;5.0
1487;;0.64;;1.9;;;;0.99496;3.52;;10.6;5.0
1488;;;;;0.049;;13.0;;;;;5.0
1489;;;;;0.048;;11.0;0.99448;3.44;;;6.0
1490;7.1;;0.49;;;8.0;;;;;12.4;6.0
1491;5.6;;;;;;;;;0.58;11.4;
1492;;;;1.6;;6.0;18.0;0.99348;;0.54;;
1493;;;0.26;1.9;0.089;23.0;;;;0.59;9.7;5.0
1494;;0.31;;1.4;0.066;15.0;28.0;0.99459;;0.7;;7.0
1495;7.0;0.43;;;0.08;;;;3.35;0.81;;6.0
1496;7.7;0.54;0.26;;0.089;;147.0;0.99636;;0.59;;
1497;;;0.03;2.3;0.054;;;;3.45;0.63;;
1498;6.6;0.895;;2.3;0.068;7.0;13.0;0.99582;3.53;0.58;;6.0
1499;;0.74;;;0.054;;;0.99508;3.45;0.63;11.5;
1500;7.5;;0.04;;0.076;8.0;15.0;0.99508;3.26;0.53;9.6;
1501;7.8;0.82;0.29;4.3;;;;0.99642;3.16;0.53;;5.0
1502;;;0.18;;0.078;15.0;;;3.31;;9.8;
1503;6.2;0.44;0.39;2.5;;;;;3.51;0.69;11.0;
1504;;;;2.3;;;12.0;;3.36;;;6.0
1505;;;;;0.078;6.0;;;;0.63;;3.0
1506;;;;2.0;0.07;6.0;;0.99562;;0.66;10.8;
1507;7.5;;;2.3;;5.0;;;;0.55;11.4;6.0
1508;7.1;;;2.1;0.074;17.0;;0.99814;;0.72;10.6;
1509;;;0.4;1.8;0.062;7.0;20.0;0.9941;3.28;;11.1;5.0
1510;;0.36;0.21;2.2;0.047;26.0;48.0;0.99661;;0.77;;6.0
1511;;0.69;;;0.068;;;;;0.67;;5.0
1512;;;;2.2;;;17.0;0.99588;3.53;;10.4;6.0
1513;6.4;;0.15;;;;65.0;;3.33;;;
1514;6.9;0.84;;4.1;;16.0;65.0;0.99842;3.53;;9.23333333333;6.0
1515;;;0.21;;;16.0;65.0;0.99842;;0.72;9.25;6.0
1516;6.1;;0.25;;;23.0;58.0;;3.42;0.97;10.6;
1517;6.5;;0.06;;;;44.0;0.99489;3.38;;;6.0
1518;;;;;0.114;;;;3.32;0.63;;
1519;6.6;;0.08;;;;;;;0.58;10.2;
1520;;0.53;;;0.063;29.0;;;3.38;0.83;10.3;
1521;6.9;;;1.9;;9.0;;0.99585;3.39;0.43;;4.0
1522;;;;;;;58.0;0.99633;;;10.6;5.0
1523;;;0.25;;;29.0;61.0;;;;10.4;
1524;;0.42;0.19;2.0;0.075;22.0;47.0;0.99522;;0.78;10.0;6.0
1525;;;0.08;;0.064;18.0;34.0;;;0.64;;5.0
1526;6.8;;0.08;;;;;0.99553;;0.65;9.6;6.0
1527;;;;;0.071;15.0;24.0;0.9951;3.29;0.66;10.8;6.0
1528;;0.29;;2.2;0.096;;59.0;0.99714;3.31;0.67;;6.0
1529;;0.69;0.08;;0.063;42.0;52.0;0.99608;;0.6;10.2;
1530;;;;2.2;;9.0;;;3.42;;11.3;6.0
1531;;;;;0.081;13.0;;0.99631;3.6;;;5.0
1532;;;;;;;22.0;;;;;6.0
1533;;0.39;0.3;;0.074;;;0.99717;3.39;0.61;;
1534;6.6;0.56;;2.4;0.064;13.0;29.0;0.99397;;;11.7;7.0
1535;7.0;0.55;;2.2;;15.0;35.0;;;;9.7;6.0
1536;6.1;;;;0.077;;45.0;0.99528;;0.68;10.3;
1537;5.4;;0.08;;;;;0.99484;;0.64;10.2;6.0
1538;6.2;0.64;0.09;2.5;;15.0;26.0;0.99538;3.57;0.63;;5.0
1539;7.2;0.39;;1.8;0.065;;;;3.46;0.78;;
1540;6.2;;0.08;4.4;;;32.0;0.99646;;0.63;;
1541;;;;;;19.0;49.0;0.99666;3.4;;;
1542;;0.855;;1.9;;;38.0;;3.3;0.56;;
1543;11.1;;;2.2;;14.0;;0.99758;3.25;0.57;;
1544;;;0.43;;;;19.0;0.9955;;;11.2;
1545;;;;1.8;0.059;16.0;;;;0.64;;
1546;;;0.02;;;17.0;26.0;0.99575;3.36;0.61;;
1547;6.3;;0.1;;;;26.0;;;0.51;;5.0
1548;;0.4;0.5;2.0;;19.0;50.0;;;;10.4;
1549;;0.36;;1.8;;;;0.99419;3.24;;;
1550;;0.68;;2.3;0.087;17.0;;0.99783;3.45;0.53;9.5;
1551;;0.67;;2.3;;18.0;27.0;0.99768;;0.54;;
1552;;0.68;0.01;;;32.0;;0.99586;3.51;;11.3;
1553;7.3;0.735;;2.2;0.08;;;0.99765;;0.6;;
1554;6.6;0.855;;2.4;;;;;3.54;;;6.0
1555;;;0.17;1.7;0.065;15.0;;0.99514;;;10.55;7.0
1556;;0.88;;;;;20.0;;;;9.9;
1557;6.6;;;2.4;0.062;15.0;;0.99627;3.54;;11.0;6.0
1558;6.9;0.63;;6.7;;;;0.99787;;0.56;9.5;5.0
1559;;;;2.0;;31.0;;;3.21;0.52;9.9;
1560;;;;2.0;;;;;;0.52;9.9;
1561;;0.6;;;;;;;;0.52;9.9;5.0
1562;;;0.13;;0.076;12.0;20.0;0.99546;3.29;;;5.0
1563;;;0.13;;0.076;12.0;20.0;0.99546;;;10.1;
1564;;;0.13;;0.076;;;0.99546;;;10.1;5.0
1565;6.7;0.67;0.02;1.9;0.061;;;;;;;6.0
1566;;0.16;;;;;52.0;0.99494;3.34;0.71;;
1567;7.2;0.695;;2.0;0.076;;20.0;;;0.54;;5.0
1568;7.0;0.56;;;;;42.0;0.99629;3.34;0.59;9.2;
1569;6.2;0.51;0.14;;;;34.0;0.99396;;;;
1570;;;;2.2;0.23;;35.0;;3.37;0.93;;
1571;6.4;;;2.2;;;;0.99514;;;;
1572;7.3;;;;0.069;;;;;0.51;9.5;5.0
1573;6.0;;0.2;;;;50.0;;;0.67;12.5;
1574;5.6;;;;0.074;23.0;;;;;;
1575;7.5;0.52;;;;12.0;;;3.26;0.64;11.8;6.0
1576;8.0;0.3;;1.6;0.081;16.0;29.0;;;0.78;;6.0
1577;6.2;0.7;0.15;;;13.0;;;3.54;;11.9;6.0
1578;;;;1.8;0.118;;20.0;0.9954;3.42;0.67;;6.0
1579;;0.56;;;0.053;;;;3.54;0.6;;
1580;;;;;0.068;;;;;;;6.0
1581;6.2;;0.09;1.7;0.053;24.0;;;3.54;0.6;;
1582;;;;2.6;;;27.0;0.99362;3.57;0.5;11.9;5.0
1583;6.2;;0.29;;;;;0.99578;3.33;0.62;;5.0
1584;;;;;0.061;24.0;34.0;0.99484;3.29;;;7.0
1585;;0.39;;2.6;;;;;3.3;0.84;11.5;6.0
1586;;;0.41;;;;;;;0.85;11.4;
1587;5.8;0.61;;;;;;0.99483;;;10.9;
1588;;;;;0.068;34.0;102.0;0.99414;3.27;0.78;;6.0
1589;;0.725;0.2;;0.073;;79.0;;3.29;0.54;;
1590;6.3;;;1.8;;26.0;;0.99314;3.32;;11.6;6.0
1591;;0.74;0.09;1.7;;;26.0;0.99402;3.67;;11.6;
1592;6.3;0.51;0.13;2.3;;;40.0;;;;;
1593;6.8;;0.08;;;;;0.99651;3.42;0.82;9.5;6.0
1594;6.2;;0.08;;0.09;32.0;;;;;;
1595;5.9;0.55;;2.2;;39.0;51.0;;;0.76;;
1596;6.3;;0.13;2.3;;;40.0;;;0.75;11.0;6.0
1597;;;;;;;44.0;0.99547;;0.71;10.2;5.0
1598;;;;;0.067;;42.0;;;0.66;11.0;
